Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Specificity,Sensitivity,Balanced Accuracy,Matthews Correlation Coefficient,Avg Inference Time (ms/image),Model Size (MB)
Custom CNN,0.8233082706766918,0.826414325666219,0.8233082706766918,0.8234825950023231,0.9480609418282548,0.9411027568922306,0.8233082706766918,0.8233082706766918,0.7652948422097926,18.07705526316978,508.13755798339844
EfficientNetB0,0.7800751879699248,0.7837589470119505,0.7800751879699248,0.7747063939972708,0.9377767727589651,0.9266917293233082,0.7800751879699248,0.7800751879699248,0.7105359916801226,28.068172556341143,38.99049377441406
MobileNetV2,0.806390977443609,0.8243755408880925,0.806390977443609,0.8021339156105122,0.9573746396065352,0.9354636591478696,0.8063909774436091,0.8063909774436091,0.7504633421136305,25.530344360918104,23.72093963623047
