Model,Status,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Sensitivity,Specificity,Positive Predictive Value,Negative Predictive Value,ROC AUC,Log Loss,Matthews Correlation Coefficient,Cohen Kappa,Avg Inference Time (ms/image),Total Evaluation Time (s),Avg Prediction Confidence,Parameters,Trainable Parameters,Model Size (MB)
Custom CNN,Loaded,0.8233082706766918,0.826414325666219,0.8233082706766918,0.8234825950023231,0.8233082706766918,0.8233082706766918,0.9411027568922306,0.8264143256662189,0.9412908780150966,0.9480609418282548,0.49968825799831945,0.7652948422097926,0.7644110275689223,63.59922988721016,33.8347902999958,0.7709779739379883,44398148,44398148,508.13755798339844
EfficientNetB0,Loaded,0.25,0.0625,0.25,0.1,0.25,0.25,0.75,0.0625,0.5625,0.450086682872595,1.3863315493345008,0.0,0.0,83.35722593975314,44.346044199948665,0.2522144913673401,4378535,328964,17.159210205078125
MobileNetV2,Loaded,0.806390977443609,0.8243755408880925,0.806390977443609,0.8021339156105122,0.8063909774436091,0.8063909774436091,0.9354636591478696,0.8243755408880925,0.9386626780855184,0.9573840616579041,0.5651909021963916,0.7504633421136305,0.7418546365914787,16.921662406022556,9.002324400004,0.6825947165489197,2422468,1846020,23.72093963623047
